playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
barrebi01,1871,1,FW1,NA,1,5,1,1,1,0,0,1,0,0,0,0,,,,,0
barrofr01,1871,1,BS1,NA,18,86,13,13,2,1,0,11,1,0,0,0,,,,,0
barrebi01,1872,1,WS3,NA,1,4,0,0,0,0,0,0,0,0,0,0,,,,,0
robinva01,1872,1,WS3,NA,7,30,6,6,0,0,0,4,0,0,1,1,,,,,1
barrebi01,1873,1,BL1,NA,1,4,0,1,0,0,0,0,0,1,0,0,,,,,0
edwar01,1875,1,BR2,NA,1,5,1,1,0,0,0,0,0,0,0,0,,,,,0
poormto01,1880,1,BFN,NL,19,70,5,11,1,0,0,1,,,0,13,,,,,
poormto01,1880,2,CHN,NL,7,25,3,5,1,2,0,0,,,0,2,,,,,
poormto01,1884,1,TL1,AA,94,382,56,89,8,7,0,,,,10,,,1,,,
poormto01,1885,1,BSN,NL,56,227,44,54,5,3,3,25,,,7,32,,,,,
flynnjo02,1886,1,CHN,NL,57,205,40,41,6,2,4,19,9,,18,45,,,,,
poormto01,1886,1,BSN,NL,88,371,72,97,16,6,3,41,31,,19,52,,,,,
flynnjo02,1887,1,CHN,NL,1,0,0,0,0,0,0,0,0,,0,0,,0,,,
poormto01,1887,1,PH4,AA,135,585,140,155,18,19,4,61,88,,35,46,,10,,,
poormto01,1888,1,PH4,AA,97,383,76,87,16,6,2,44,46,,31,46,,5,,,
mcmahsa01,1889,1,PH4,AA,30,104,9,16,2,1,0,4,3,,4,16,,0,,,
mcmahsa01,1890,1,PH4,AA,49,175,27,40,5,1,2,19,2,,7,,,2,,,
mcmahsa01,1890,2,BL3,AA,12,39,4,4,0,0,0,1,2,,1,,,0,,,
mcmahsa01,1891,1,BL3,AA,61,210,31,43,2,4,1,15,6,,7,36,,1,,,
mcmahsa01,1892,1,BLN,NL,49,177,12,25,1,2,0,18,0,,7,31,,2,,,
mcmahsa01,1893,1,BLN,NL,43,148,13,36,3,0,0,22,1,,5,11,,2,,,
mcmahsa01,1894,1,BLN,NL,35,126,17,36,5,1,0,25,1,,9,12,,0,8,,
mcmahsa01,1895,1,BLN,NL,15,51,5,16,1,0,0,5,1,,3,2,,1,1,,
mcmahsa01,1896,1,BLN,NL,22,73,6,9,2,0,0,4,1,,1,5,,1,0,,
mcmahsa01,1897,1,BRO,NL,9,25,2,5,0,0,0,2,0,,1,5,,0,0,,
bondsba01,1986,1,PIT,NL,113,413,72,92,26,3,16,48,36,7,65,102,2,2,2,2,4
bondsba01,1987,1,PIT,NL,150,551,99,144,34,9,25,59,32,10,54,88,3,3,0,3,4
bondsba01,1988,1,PIT,NL,144,538,97,152,30,5,24,58,17,11,72,82,14,2,0,2,3
bondsba01,1989,1,PIT,NL,159,580,96,144,34,6,19,58,32,10,93,93,22,1,1,4,9
bondsba01,1990,1,PIT,NL,151,519,104,156,32,3,33,114,52,13,93,83,15,3,0,6,8
bondsba01,1991,1,PIT,NL,153,510,95,149,28,5,25,116,43,13,107,73,25,4,0,13,8
bondsba01,1992,1,PIT,NL,140,473,109,147,36,5,34,103,39,8,127,69,32,5,0,7,9
bondsba01,1993,1,SFN,NL,159,539,129,181,38,4,46,123,29,12,126,79,43,2,0,7,11
bondsba01,1994,1,SFN,NL,112,391,89,122,18,1,37,81,29,9,74,43,18,6,0,3,3
bondsba01,1995,1,SFN,NL,144,506,109,149,30,7,33,104,31,10,120,83,22,5,0,4,12
bondsba01,1996,1,SFN,NL,158,517,122,159,27,3,42,129,40,7,151,76,30,1,0,6,11
bondsba01,1997,1,SFN,NL,159,532,123,155,26,5,40,101,37,8,145,87,34,8,0,5,13
bondsba01,1998,1,SFN,NL,156,552,120,167,44,7,37,122,28,12,130,92,29,8,1,6,15
bondsba01,1999,1,SFN,NL,102,355,91,93,20,2,34,83,15,2,73,62,9,3,0,3,6
bondsba01,2000,1,SFN,NL,143,480,129,147,28,4,49,106,11,3,117,77,22,3,0,7,6
bondsba01,2001,1,SFN,NL,153,476,129,156,32,2,73,137,13,3,177,93,35,9,0,2,5
pujolal01,2001,1,SLN,NL,161,590,112,194,47,4,37,130,1,3,69,93,6,9,1,7,21
bondsba01,2002,1,SFN,NL,143,403,117,149,31,2,46,110,9,2,198,47,68,9,0,2,4
pujolal01,2002,1,SLN,NL,157,590,118,185,40,2,34,127,2,4,72,69,13,9,0,4,20
bondsba01,2003,1,SFN,NL,130,390,111,133,22,1,45,90,7,0,148,58,61,10,0,2,7
pujolal01,2003,1,SLN,NL,157,591,137,212,51,1,43,124,5,1,79,65,12,10,0,5,13
bondsba01,2004,1,SFN,NL,147,373,129,135,27,3,45,101,6,1,232,41,120,9,0,3,5
pujolal01,2004,1,SLN,NL,154,592,133,196,51,2,46,123,5,5,84,52,12,7,0,9,21
bondsba01,2005,1,SFN,NL,14,42,8,12,1,0,5,10,0,0,9,6,3,0,0,1,0
pujolal01,2005,1,SLN,NL,161,591,129,195,38,2,41,117,16,2,97,65,27,9,0,3,19
bondsba01,2006,1,SFN,NL,130,367,74,99,23,0,26,77,3,0,115,51,38,10,0,1,9
pujolal01,2006,1,SLN,NL,143,535,119,177,33,1,49,137,7,2,92,50,28,4,0,3,20
bondsba01,2007,1,SFN,NL,126,340,75,94,14,0,28,66,5,0,132,54,43,3,0,2,13
pujolal01,2007,1,SLN,NL,158,565,99,185,38,1,32,103,2,6,99,58,22,7,0,8,27
pujolal01,2008,1,SLN,NL,148,524,100,187,44,0,37,116,7,3,104,54,34,5,0,8,16
pujolal01,2009,1,SLN,NL,160,568,124,186,45,1,47,135,16,4,115,64,44,9,0,8,23
pujolal01,2010,1,SLN,NL,159,587,115,183,39,1,42,118,14,4,103,76,38,4,0,6,23
pujolal01,2011,1,SLN,NL,147,579,105,173,29,0,37,99,9,1,61,58,15,4,0,7,29
pujolal01,2012,1,LAA,AL,154,607,85,173,50,0,30,105,8,1,52,76,16,5,0,6,19
pujolal01,2013,1,LAA,AL,99,391,49,101,19,0,17,64,1,1,40,55,8,5,0,7,18
pujolal01,2014,1,LAA,AL,159,633,89,172,37,1,28,105,5,1,48,71,11,5,0,9,28
pujolal01,2015,1,LAA,AL,157,602,85,147,22,0,40,95,5,3,50,72,10,6,0,3,15
pujolal01,2016,1,LAA,AL,152,593,71,159,19,0,31,119,4,0,49,75,6,2,0,6,24
pujolal01,2017,1,LAA,AL,149,593,53,143,17,0,23,101,3,0,37,93,5,2,0,4,26
pujolal01,2018,1,LAA,AL,117,465,50,114,20,0,19,64,1,0,28,65,3,2,0,3,12
pujolal01,2019,1,LAA,AL,131,491,55,120,22,0,23,93,3,0,43,68,1,3,0,8,21
pujolal01,2020,1,LAA,AL,39,152,15,34,8,0,6,25,0,0,9,25,1,1,0,1,4
